"","education/tools","media","news","special day","website/organization update","conversation","recognition and thank","other organization","reporter","live tweeting","call for action","event","fundraising","advocacy","social media campaign","id","nonprofit"
"1",25,10.25,24.2857142857143,25,20,10.8,9.875,25,NA,NA,18.25,10.7142857142857,25,16.6666666666667,NA,1,"Clean Wisconsin"
"2",1.26666666666667,1.33333333333333,1.5,2,1.2,2.5,2,3,NA,NA,1.25,1.86666666666667,NA,1,2.63636363636364,2,"Greater Lansing Regional Committee for Stormwater Management (GLRC)"
"3",2.875,2,1,NA,2.33333333333333,NA,NA,1.33333333333333,NA,NA,2,0,NA,NA,NA,3,"Illinois-Indiana Sea Grant"
"4",NA,16,16.0909090909091,NA,4.83333333333333,10,21,NA,NA,NA,NA,3.75,NA,25,NA,4,"Michigan Environmental Council"
"5",0.666666666666667,NA,2,NA,8,NA,NA,1.5,NA,10,NA,1.25,NA,NA,NA,5,"Mid-Michigan Environmental Action Council"
"6",1.55555555555556,NA,0.333333333333333,NA,0.333333333333333,NA,NA,NA,NA,NA,0.5,1.41666666666667,NA,NA,NA,6,"Minnesota Sea Grant"
"7",8.28571428571429,3,NA,8,6.83333333333333,NA,NA,1,NA,NA,1,5.33333333333333,NA,NA,NA,7,"NOAA Digital Coast"
"8",NA,25,25,NA,25,25,25,NA,NA,NA,19.75,25,NA,25,NA,8,"Riverkeeper"
"9",NA,25,19,NA,18.3333333333333,NA,18.375,NA,NA,20,8.83333333333333,7.75,5.5,NA,NA,9,"Save The River"
"10",1.5,NA,2,NA,2.9,NA,NA,NA,NA,6.5,NA,3.33333333333333,NA,NA,NA,10,"Superior Watershed Partnership"
"11",1,NA,0.75,NA,0,1,NA,0.5,NA,0.333333333333333,NA,0.666666666666667,NA,NA,NA,11,"Tinker's Creek Watershed Partners"
"12",2.66666666666667,3,2.66666666666667,NA,5,NA,NA,4,NA,3,NA,1.5,NA,NA,NA,12,"University of Wisconsin Sea Grant/Water Resources Institutes"
"13",6.1,10,2,NA,NA,9,6.5,NA,NA,16,NA,5.36363636363636,NA,NA,NA,13,"Watershed Center of Grand Traverse Bay"
"14",24.6,25,25,NA,24.75,NA,23.3333333333333,NA,NA,NA,25,6,NA,NA,NA,14,"YardMap"
"15",NA,NA,7,NA,3,13,18,25,NA,21,2,3.5,4,NA,NA,15,"The Blueways of St. Clair"
"16",4,0.625,4,NA,1.5,1,9.33333333333333,NA,NA,11,NA,1.6,NA,1,NA,16,"Huron River Watershed Council"
"17",NA,1.66666666666667,1,NA,0,1.5,3,NA,NA,2,1,1,NA,NA,NA,17,"Sustainable Tompkins"
"18",10.25,20.5,20,NA,15,15.3333333333333,NA,20,NA,13,15,17,NA,23.5,NA,18,"Environmental Advocates of New York"
"19",2.33333333333333,1,1.6,1.33333333333333,2,NA,2.8,NA,NA,3.5,3.33333333333333,0.5,NA,NA,NA,19,"Utah Water Watch"
"20",5.75,NA,4.28571428571429,NA,9,NA,13.5,NA,NA,17,16.25,5.5,4,8,NA,20,"Orange County Coastkeeper"
"21",NA,6,NA,NA,4.33333333333333,0,13.3333333333333,NA,NA,12.75,2,1.8125,NA,3,NA,21,"Tip of the Mitt Watershed Council"
"22",NA,NA,6,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,22,"Midwest Environmental Advocates"
"23",NA,NA,NA,25,25,NA,NA,NA,NA,25,25,20,NA,NA,NA,23,"U.S. Department of Agriculture"
