"","education/tools","media","news","special day","website/organization update","conversation","recognition and thanks","other organization","reporter","live tweeting","call for action","event","fundraising","advocacy","social media campaign","NA","id","nonprofit"
"1",0.555555555555556,0.5,0,0,NA,NA,0,0,NA,0,0,0,NA,0,NA,1,1,"GLRC"
"2",1.33333333333333,NA,1.30769230769231,NA,NA,0.5,NA,0,NA,1,1.6,0,NA,NA,NA,2,2,"Green Watch Dog"
"3",NA,1,0.136363636363636,0.666666666666667,NA,0.1875,0.555555555555556,0.142857142857143,NA,NA,0.285714285714286,0.6,NA,0.25,NA,3,3,"Clean Wisconsin "
"4",NA,0,0.125,0,NA,0,0.333333333333333,0,NA,0,NA,0,NA,NA,NA,4,4,"BlueWays St Clair"
"5",0.166666666666667,1,0.6,NA,0,0,NA,0,0.5,0,0,0,NA,0,NA,5,5,"ILINSeaGrant"
"6",0,NA,0.307692307692308,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,6,6,"MichEnvoCousil"
"7",0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,7,7,"midmeac"
"8",0.5,0,0.333333333333333,0,NA,2,NA,1.5,NA,1,NA,0,NA,2,NA,8,8,"mnseagrant"
"9",1.28571428571429,3,0.5,1,NA,1,NA,0,NA,1,0.666666666666667,1.5,NA,NA,NA,9,9,"NOAADigCoas"
"10",0,1,0.444444444444444,NA,NA,NA,NA,0,NA,NA,0.2,0,NA,0,NA,10,10,"nrs ohio"
"11",1,1,0.4,0,NA,NA,0.5,1.5,NA,0,0.5,0.625,NA,2,NA,11,11,"OCCoastKeeper"
"12",0.5,0,0.625,NA,NA,NA,0,0.5,NA,0.666666666666667,0.75,2,NA,0.571428571428571,NA,12,12,"ONStewardshi"
"13",3,0,0.333333333333333,NA,NA,0.5,0,0.571428571428571,NA,0,0,0.666666666666667,NA,2,NA,13,13,"riverkeeper"
"14",0,NA,NA,NA,NA,0,0.0666666666666667,0,NA,0,NA,0,NA,0,0,14,14,"sustaintompkins"
"15",0,0,0,0,NA,NA,NA,0,NA,0.333333333333333,0,0,NA,0,NA,15,15,"SWPLandTrus"
"16",0,0,0.5,NA,NA,NA,0.166666666666667,NA,NA,0,0,0,NA,NA,NA,16,16,"Tinkers Creek"
"17",0,NA,0,NA,NA,0,NA,0.227272727272727,0,NA,0,NA,NA,0,NA,17,17,"UWiscSeaGrant"
"18",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,"YardMap"
"19",0,NA,0.5,NA,NA,1.66666666666667,0.2,NA,3,1,0.75,0.75,NA,NA,0,19,19,"savetheriver"
"20",0.222222222222222,NA,0.125,NA,NA,NA,0,NA,NA,NA,NA,0.25,NA,1,0,20,20,"WaterShed Center"
