"","education/tools","media","news","special day","website/organization update","conversation","recognition and thanks","other organization","reporter","live tweeting","call for action","event","fundraising","advocacy","social media campaign","NA","id","nonprofit"
"1",0.555555555555556,1.75,0.666666666666667,2,NA,NA,1.5,2,NA,0.666666666666667,0.454545454545455,0.5,NA,0,NA,1,1,"GLRC"
"2",0,NA,0.153846153846154,NA,NA,0,NA,0.5,NA,1.5,0.2,1,NA,NA,NA,2,2,"Green Watch Dog"
"3",NA,0.75,0.227272727272727,0,NA,0.4375,0.555555555555556,0.571428571428571,NA,NA,0.285714285714286,0,NA,0.25,NA,3,3,"Clean Wisconsin "
"4",NA,0,0,0,NA,0,0,0,NA,0,NA,0,NA,NA,NA,4,4,"BlueWays St Clair"
"5",1.5,1,1,NA,0,0,NA,0.666666666666667,1.5,0.333333333333333,3,1.5,NA,0.5,NA,5,5,"ILINSeaGrant"
"6",1,NA,0.153846153846154,1,NA,0,NA,0.5,NA,0,0.5,0,NA,NA,NA,6,6,"MichEnvoCousil"
"7",0,NA,0.166666666666667,NA,NA,0,NA,NA,NA,0.5,0.5,0,NA,NA,NA,7,7,"midmeac"
"8",0,0,0,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,8,8,"mnseagrant"
"9",2.35714285714286,2,3,5,NA,0.5,NA,3,NA,1,1.66666666666667,2,NA,NA,NA,9,9,"NOAADigCoas"
"10",1.2,2,1.55555555555556,NA,NA,NA,NA,1,NA,NA,1,1.8,NA,1.5,NA,10,10,"nrs ohio"
"11",0,0.5,0,0,NA,NA,0,2,NA,0,0,0,NA,0,NA,11,11,"OCCoastKeeper"
"12",0,0,0.125,NA,NA,NA,0,0,NA,0.666666666666667,0.5,0,NA,0.428571428571429,NA,12,12,"ONStewardshi"
"13",1,1,0.444444444444444,NA,NA,0,0,1.14285714285714,NA,0.5,2,0.666666666666667,NA,2,NA,13,13,"riverkeeper"
"14",0,NA,NA,NA,NA,1,0.2,1,NA,1.8,NA,0,NA,3,1,14,14,"sustaintompkins"
"15",0,0,0.4,2,NA,NA,NA,0,NA,0,1,0,NA,0.5,NA,15,15,"SWPLandTrus"
"16",2,0,0,NA,NA,NA,0.166666666666667,NA,NA,0.666666666666667,0,0,NA,NA,NA,16,16,"Tinkers Creek"
"17",1,NA,0,NA,NA,0,NA,0.136363636363636,0,NA,2,NA,NA,0,NA,17,17,"UWiscSeaGrant"
"18",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,"YardMap"
"19",0,NA,0,NA,NA,0,0,NA,0,0,0,0,NA,NA,0,19,19,"savetheriver"
"20",0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,20,20,"WaterShed Center"
