"","education/tools","media","news","special day","website/organization update","conversation","recognition and thanks","other organization","reporter","live tweeting","call for action","event","fundraising","advocacy","social media campaign","id","nonprofit"
"1",4.55555555555556,0,4,0,NA,NA,3.5,3,NA,1,0.545454545454545,0.833333333333333,NA,3,NA,1,"GLRC"
"2",2,NA,3.76923076923077,NA,NA,0.5,NA,2,NA,3.5,4.6,1,NA,NA,NA,2,"Green Watch Dog"
"3",NA,0.75,5.59090909090909,1.33333333333333,NA,0.4375,0.888888888888889,0.571428571428571,NA,NA,0.571428571428571,1.2,NA,1.5,NA,3,"Clean Wisconsin "
"4",NA,0,4.75,0,NA,0,0,1,NA,6,NA,0.142857142857143,NA,NA,NA,4,"BlueWays St Clair"
"5",1.33333333333333,1,0.6,NA,1,306,NA,1.33333333333333,2.5,1.33333333333333,1,1,NA,2,NA,5,"ILINSeaGrant"
"6",2.75,NA,0.384615384615385,157,NA,40,NA,1,NA,1,1,4,NA,NA,NA,6,"MichEnvoCousil"
"7",0,NA,0.166666666666667,NA,NA,0,NA,NA,NA,0,0.5,0.333333333333333,NA,NA,NA,7,"midmeac"
"8",1,0,1,1,NA,0,NA,3.75,NA,1,NA,2,NA,2,NA,8,"mnseagrant"
"9",8.57142857142857,5.5,1.5,0,NA,23,NA,0,NA,19.5,11,2,NA,NA,NA,9,"NOAADigCoas"
"10",8.4,4,1.66666666666667,NA,NA,NA,NA,1,NA,NA,0.8,1.6,NA,1.5,NA,10,"nrs ohio"
"11",0,0.5,0.6,0,NA,NA,0.5,0.5,NA,0.5,0.75,0.5,NA,1,NA,11,"OCCoastKeeper"
"12",0,1,2.625,NA,NA,NA,1,4,NA,1,4,3,NA,1.57142857142857,NA,12,"ONStewardshi"
"13",6,32,2.11111111111111,NA,NA,1.5,14,1,NA,1,46,2.66666666666667,NA,4,NA,13,"riverkeeper"
"14",1,NA,NA,NA,NA,1,0.6,1,NA,2.2,NA,0,NA,1,1,14,"sustaintompkins"
"15",0,0.5,0.2,0,NA,NA,NA,0,NA,0,0,0,NA,0.5,NA,15,"SWPLandTrus"
"16",0.5,1,0,NA,NA,NA,0,NA,NA,1,0.666666666666667,0,NA,NA,NA,16,"Tinkers Creek"
"17",2,NA,2,NA,NA,0,NA,0.136363636363636,0,NA,0,NA,NA,0,NA,17,"UWiscSeaGrant"
"18",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"YardMap"
"19",0,NA,1.5,NA,NA,0.666666666666667,0.4,NA,1,0,0.25,1.5,NA,NA,1,19,"savetheriver"
"20",0.444444444444444,NA,0.25,NA,NA,NA,0,NA,NA,NA,NA,0.25,NA,0,0,20,"WaterShed Center"
